code,Nom,Handelsbenaming,Rue,Numero,Code postal,Localité,Pays,Téléphone,Verkort-nr,Fax-nr,Gsm,BTW-nr,Mail leveringsbon,Mail factuur,Familienaam contactpersoon,Voornaam Contactpersoon,Telefoonnr,E-mail,Functie,Afzetkanaal,Klantengroep,Datum laatste bestelling,Facturatieperiode,Max. toegestaan krediet,Datum aanmaak klant,Transporteur,Alfacode,Picking groep,Vertegenwoordiger,Naam
2.0,PREVOT TRAITEUR,,RUE DU GRAND JOUR,16 BOX A,7050.0,JURBISE,BEL,,,,0488/37.17.17,BE1032.138.495,NEE,NEE,BOEKHOUDING,,,invoice.traiteurprevot@gmail.com,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,2026-01-07,Klanten HTT,2500.0,2026-01-07,MONS,,,1.0,HTT
46.0,TRAITEUR CHRISTIAN SA,MEY CHRISTIAN,CHAUSSEE DE WILLEMEAU,78,7500.0,TOURNAI,BEL,0495/37.60.38,,,0496/28.36.86,BE 0442.563.191,NEE,NEE,Boekhouding,,,nathaliemey78@hotmail.com,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,08 TRAITEUR,2026-01-06,Extra controle,4000.0,,MONS,,,1.0,HTT
531.0,FIERET VISCENTRALE HARELBEKE,,GENTSESTEENWEG 104,,8530.0,HARELBEKE,BEL,056/68.18.18,,,,BE 0477.731.334,JA,NEE,Boekhouding,,,facturen@viscentralefieret.be,,,04 FIERET,,Wekelijks,200000.0,,IEPER,,,1.0,HTT
1936.0,MORIAUX VERONIQUE,AU FIN GOURMET SPRL,RUE CENTRALE,1,7110.0,MAURAGE,BEL,064/66.47.27,,,0471/27.85.58,BE0665.271.728,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,,,,,,,,,,
,,,,,,,,,,,,,NEE,NEE,boekhouding,,,didierstradiot@gmail.com,,,09 HORECA,2026-01-07,Klanten HTT,2500.0,2022-09-15,MONS,,,1.0,HTT
1937.0,LE BOUCHON DES AGAISES,,CHAUSSEE BRUNEHAULT,175,7120.0,ESTINNES,BEL,064/60.00.44,,,0493/51.24.28,BE0733.780.551,NEE,JA,BOEKHOUDING,,,babalouise@outlook.be,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,,Klanten HTT,3500.0,2022-09-15,MONS,,,1.0,HTT
1938.0,GUERET ERIC,,RUE DELMOTTE,62,7870.0,BAUFFE,BEL,068/65.72.94,,,0479/21.39.53,BE0717.262.639,NEE,NEE,boekhouding,,,info@traiteurgueret.be,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,,Klanten HTT,5000.0,2022-09-15,MONS,,,1.0,HTT
1939.0,RIZOM,PHAGE,RUE DE SAINT LAZARE,95,7000.0,MONS,BEL,,,,0495/74.20.63,BE0779.323.833,NEE,NEE,boekhouding,,,olivier@rizom.be,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,2026-01-07,Klanten HTT,2500.0,2022-09-15,MONS,,,1.0,HTT
1940.0,FARMERY STORE SCRL,,RUE DES ALLIES,116,7080.0,FRAMERIES,BEL,065/98.19.26,,,0495/23.10.24,BE0737.798.133,NEE,JA,boekhouding,,,didier@farmerystore.be,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,06 POISSONERIE,2023-02-16,Klanten HTT,0.0,2022-09-15,MONS,,,1.0,HTT
1941.0,CARPENTIER MICHAEL,,RUE GERARD,6,7061.0,THIEUSIES,BEL,,,,0472/25.21.25,BE0701.741.352,NEE,NEE,boekhouding,,,michaelcarpentier@gmail.com,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,,Klanten HTT,2500.0,2022-09-15,MONS,,,1.0,HTT
